App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circuitbreaker\src\test\java\io\github\resilience4j\circuitbreaker\internal\InMemoryCircuitBreakerRegistryTest.java,projects/resilience4j/resilience4j-circuitbreaker/src/test/java/io/github/resilience4j/circuitbreaker/internal/InMemoryCircuitBreakerRegistryTest.java,InMemoryCircuitBreakerRegistryTest.java,InMemoryCircuitBreakerRegistryTest,16,12,37,8,8,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circuitbreaker\src\test\java\io\github\resilience4j\circuitbreaker\internal\SchedulerFactoryConcurrencyTest.java,projects/resilience4j/resilience4j-circuitbreaker/src/test/java/io/github/resilience4j/circuitbreaker/internal/SchedulerFactoryConcurrencyTest.java,SchedulerFactoryConcurrencyTest.java,SchedulerFactoryConcurrencyTest,12,5,41,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circuitbreaker\src\test\java\io\github\resilience4j\circuitbreaker\internal\SchedulerFactoryTest.java,projects/resilience4j/resilience4j-circuitbreaker/src/test/java/io/github/resilience4j/circuitbreaker/internal/SchedulerFactoryTest.java,SchedulerFactoryTest.java,SchedulerFactoryTest,12,4,11,2,2,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circuitbreaker\src\test\java\io\github\resilience4j\circuitbreaker\utils\CircuitBreakerUtilIsCallPermittedTest.java,projects/resilience4j/resilience4j-circuitbreaker/src/test/java/io/github/resilience4j/circuitbreaker/utils/CircuitBreakerUtilIsCallPermittedTest.java,CircuitBreakerUtilIsCallPermittedTest.java,CircuitBreakerUtilIsCallPermittedTest,10,4,10,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circuitbreaker\src\test\java\io\github\resilience4j\circuitbreaker\utils\CircuitBreakerUtilTest.java,projects/resilience4j/resilience4j-circuitbreaker/src/test/java/io/github/resilience4j/circuitbreaker/utils/CircuitBreakerUtilTest.java,CircuitBreakerUtilTest.java,CircuitBreakerUtilTest,9,1,1,1,1,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circularbuffer\src\jcstress\java\io\github\resilience4j\circularbuffer\concurrent\ConcurrentEvictingQueueDoubleReadTest.java,projects/resilience4j/resilience4j-circularbuffer/src/jcstress/java/io/github/resilience4j/circularbuffer/concurrent/ConcurrentEvictingQueueDoubleReadTest.java,ConcurrentEvictingQueueDoubleReadTest.java,ConcurrentEvictingQueueDoubleReadTest,3,3,4,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circularbuffer\src\jcstress\java\io\github\resilience4j\circularbuffer\concurrent\ConcurrentEvictingQueueDoubleWriteTest.java,projects/resilience4j/resilience4j-circularbuffer/src/jcstress/java/io/github/resilience4j/circularbuffer/concurrent/ConcurrentEvictingQueueDoubleWriteTest.java,ConcurrentEvictingQueueDoubleWriteTest.java,ConcurrentEvictingQueueDoubleWriteTest,3,3,3,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circularbuffer\src\jcstress\java\io\github\resilience4j\circularbuffer\concurrent\ConcurrentEvictingQueueReadWriteTest.java,projects/resilience4j/resilience4j-circularbuffer/src/jcstress/java/io/github/resilience4j/circularbuffer/concurrent/ConcurrentEvictingQueueReadWriteTest.java,ConcurrentEvictingQueueReadWriteTest.java,ConcurrentEvictingQueueReadWriteTest,4,3,4,0,0,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circularbuffer\src\test\java\io\github\resilience4j\circularbuffer\CircularFifoBufferTest.java,projects/resilience4j/resilience4j-circularbuffer/src/test/java/io/github/resilience4j/circularbuffer/CircularFifoBufferTest.java,CircularFifoBufferTest.java,CircularFifoBufferTest,5,1,34,1,1,0,true,true,false,false,false,false,false,false,false,false
Vietnam,dataset,C:\Users\largu\Documents\Vietnam\dataset\projects\resilience4j\resilience4j-circularbuffer\src\test\java\io\github\resilience4j\circularbuffer\ConcurrentEvictingQueueGeneralTest.java,projects/resilience4j/resilience4j-circularbuffer/src/test/java/io/github/resilience4j/circularbuffer/ConcurrentEvictingQueueGeneralTest.java,ConcurrentEvictingQueueGeneralTest.java,ConcurrentEvictingQueueGeneralTest,8,13,147,13,13,0,true,true,false,false,false,false,false,false,false,false
