file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,key,GodClass,TooManyFields,TooManyMethods,CyclomaticComplexity,CouplingBetweenObjects,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,project,ExcessiveParameterList
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\service\spi\ServiceInitiator.java,org.hibernate.service.spi.ServiceInitiator,interface,1,7,6,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,org/hibernate/service/spi/serviceinitiator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\internal\BinderHelper.java,org.hibernate.boot.model.internal.BinderHelper,class,51,68,17,51,146,1,0,196,901,0.95348835,0.0,0.0,43,42,22,18,0,3,25,0,0,0,1,1,1,0,0,0,1,0,43,562,51,21,37,7,3,57,18,90,20,79,5,0,0,1,383,1,0,org/hibernate/boot/model/internal/binderhelper,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,1.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\sequence\ANSISequenceSupport.java,org.hibernate.dialect.sequence.ANSISequenceSupport,class,2,8,6,2,2,1,5,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,1,0,1,1,1,0,0,0,1,0,0,9,2,0,0,0,0,2,0,1,2,1,0,0,0,0,32,1,0,org/hibernate/dialect/sequence/ansisequencesupport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\source\internal\hbm\ModelBinder.java,org.hibernate.boot.model.source.internal.hbm.ModelBinder$OneToOneFkSecondPass,innerclass,4,4,0,4,5,1,0,2,0,0.2,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,18,3,0,0,0,0,0,0,1,0,1,0,0,0,0,20,10,0,org/hibernate/boot/model/source/internal/hbm/modelbinder,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\configuration\internal\RevisionInfoConfiguration.java,org.hibernate.envers.configuration.internal.RevisionInfoConfiguration,class,21,29,8,21,22,1,0,30,55,0.8539683,0.0,0.0,15,0,12,3,0,0,12,0,0,0,21,7,0,21,0,0,21,0,0,317,14,0,0,0,0,23,0,30,0,29,2,0,1,0,107,1,0,org/hibernate/envers/configuration/internal/revisioninfoconfiguration,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-vector\src\main\java\org\hibernate\vector\internal\OracleSparseDoubleVectorJdbcType.java,org.hibernate.vector.internal.OracleSparseDoubleVectorJdbcType,class,9,10,1,9,10,4,0,6,28,0.0,0.0,0.0,8,0,5,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,67,9,0,1,0,0,2,0,1,0,1,1,1,0,0,44,1,0,org/hibernate/vector/internal/oraclesparsedoublevectorjdbctype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\sqm\sql\internal\DiscriminatorPathInterpretation.java,org.hibernate.query.sqm.sql.internal.DiscriminatorPathInterpretation,class,23,25,2,23,12,2,0,23,22,0.625,0.0,0.0,8,2,7,1,0,0,7,0,0,0,1,0,0,1,0,0,1,0,2,52,7,0,0,0,0,2,0,8,0,7,1,0,0,0,55,1,0,org/hibernate/query/sqm/sql/internal/discriminatorpathinterpretation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\internal\EntityEntryImpl.java,org.hibernate.engine.internal.EntityEntryImpl$EnumState,innerclass,5,5,0,5,8,1,0,3,7,0.80952376,,,6,0,0,5,0,1,1,0,0,0,7,3,0,0,7,0,7,0,0,34,5,0,1,0,0,2,8,8,3,8,1,0,0,0,77,8,0,org/hibernate/engine/internal/entityentryimpl,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\RDMSOS2200SqlAstTranslator.java,org.hibernate.community.dialect.RDMSOS2200SqlAstTranslator,class,14,15,1,14,15,2,0,16,36,0.0,0.0,0.0,9,0,2,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,2,0,0,3,0,0,0,0,2,0,0,0,86,1,0,org/hibernate/community/dialect/rdmsos2200sqlasttranslator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
C:\Users\largu\Documents\Vietnam\dataset\projects\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\descriptor\jdbc\LongVarcharJdbcType.java,org.hibernate.type.descriptor.jdbc.LongVarcharJdbcType,class,7,9,2,7,14,2,0,7,20,0.7916667,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,1,1,2,0,0,3,0,0,43,5,0,1,0,0,1,0,8,0,6,1,0,0,0,46,1,0,org/hibernate/type/descriptor/jdbc/longvarcharjdbctype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hibernate-orm,0.0
